state,year,12_17,18_25,26_plus,se_12_17,se_18_25,se_26_plus,rml
South Dakota,2009,15.62,70.76,60.99,1.2678571428571426,15.543367346938778,1.9362244897959175,never
Tennessee,2009,11.32,53.36,42.82,1.0331632653061227,12.158163265306122,2.058673469387755,never
Texas,2009,14.1,58.42,51.62,0.7142857142857145,12.23469387755102,1.1173469387755108,never
Utah,2009,6.87,31.96,30.67,0.8903061224489797,7.938775510204083,1.8137755102040825,never
Vermont,2009,18.28,73.67,62.74,1.4234693877551017,15.650510204081636,2.0127551020408148,never
Virginia,2009,12.93,60.21,53.81,1.1020408163265307,13.551020408163264,2.025510204081632,never
Washington,2009,13.94,60.77,60.44,1.1836734693877558,13.448979591836734,1.8775510204081631,before
West Virginia,2009,13.2,53.52,38.61,1.1122448979591835,11.846938775510203,2.025510204081632,never
Wisconsin,2009,18.6,71.8,65.37,1.3979591836734695,15.071428571428571,1.9285714285714273,never
Wyoming,2009,17.22,62.29,57.27,1.3035714285714284,13.045918367346937,2.0561224489795924,never
Alabama,2010,5.75,13.9,3.3,0.7168367346938774,3.193877551020408,0.528061224489796,never
Alaska,2010,8.64,24.46,9.82,1.0561224489795917,5.464285714285714,1.2627551020408163,before
Arizona,2010,7.58,15.95,4.78,0.933673469387755,3.3698979591836737,0.7729591836734693,never
Arkansas,2010,6.38,13.88,3.96,0.8494897959183674,3.0306122448979593,0.6071428571428572,never
California,2010,8.6,19.94,5.96,0.5663265306122448,3.655612244897959,0.47959183673469385,before
Colorado,2010,9.91,26.35,8.86,1.1301020408163265,5.653061224489796,1.0816326530612244,before
Connecticut,2010,8.86,23.56,4.96,0.9846938775510206,5.137755102040817,0.7806122448979592,never
Delaware,2010,8.49,21.05,4.48,0.9872448979591839,4.543367346938776,0.7091836734693878,never
Florida,2010,6.92,17.22,4.33,0.4948979591836736,3.329081632653061,0.39285714285714285,never
Georgia,2010,6.42,14.91,3.73,0.7857142857142859,3.2780612244897953,0.6045918367346939,never
Hawaii,2010,7.9,19.89,5.97,0.9974489795918368,4.51530612244898,0.9005102040816325,never
Idaho,2010,7.63,16.49,5.56,0.8673469387755103,3.4209183673469394,0.8239795918367346,never
Illinois,2010,7.53,18.79,4.15,0.5204081632653059,3.568877551020408,0.354591836734694,never
Indiana,2010,6.68,17.5,4.05,0.7831632653061228,3.941326530612246,0.5943877551020409,never
Iowa,2010,6.94,14.27,2.99,0.8494897959183672,3.0178571428571423,0.5025510204081632,never
Kansas,2010,6.42,14.07,3.52,0.8061224489795918,3.0739795918367347,0.5612244897959184,never
Kentucky,2010,5.44,14.26,2.93,0.739795918367347,3.329081632653061,0.48724489795918374,never
Louisiana,2010,5.28,15.76,3.17,0.6938775510204082,3.7346938775510203,0.5382653061224489,never
Maine,2010,8.94,27.34,7.36,0.9668367346938775,6.102040816326531,0.99234693877551,before
Maryland,2010,7.07,19.01,3.81,0.9005102040816325,4.364795918367347,0.6275510204081634,never
Massachusetts,2010,10.27,27.98,6.92,1.0331632653061227,5.928571428571429,0.8188775510204079,before
Michigan,2010,8.09,20.06,6.47,0.530612244897959,3.767857142857143,0.5,never
Minnesota,2010,6.09,16.76,4.05,0.7602040816326532,3.8392857142857144,0.614795918367347,never
Mississippi,2010,5.22,12.57,3.15,0.6862244897959184,2.8801020408163263,0.5280612244897959,never
Missouri,2010,6.42,17.44,4.18,0.7857142857142859,3.982142857142857,0.6505102040816326,never
Montana,2010,9.61,22.71,6.84,1.0153061224489794,4.660714285714286,0.8877551020408162,never
Nebraska,2010,6.3,15.44,3.98,0.7933673469387754,3.466836734693878,0.5994897959183674,never
Nevada,2010,7.61,18.16,5.22,0.9209183673469387,3.9081632653061225,0.7678571428571428,before
New Hampshire,2010,11.51,28.29,6.88,1.211734693877551,5.744897959183675,0.9795918367346941,never
New Jersey,2010,7.21,17.95,3.58,0.8545918367346941,3.9923469387755097,0.5433673469387755,never
New Mexico,2010,9.34,19.25,5.41,1.0382653061224492,3.834183673469388,0.8035714285714287,never
New York,2010,8.58,21.46,5.22,0.556122448979592,4.045918367346939,0.4438775510204082,never
North Carolina,2010,7.1,19.72,4.96,0.8010204081632653,4.405612244897959,0.7270408163265306,never
North Dakota,2010,4.4,9.98,2.71,0.6556122448979592,2.344387755102041,0.461734693877551,never
Ohio,2010,7.61,18.34,3.81,0.4948979591836736,3.4056122448979598,0.3469387755102041,never
Oklahoma,2010,7.17,17.36,4.94,0.8877551020408162,3.9005102040816326,0.7857142857142857,never
Oregon,2010,9.46,23.88,8.11,0.9821428571428573,5.025510204081632,1.0204081632653061,before
Pennsylvania,2010,7.4,19.18,3.88,0.5433673469387753,3.7627551020408165,0.3698979591836734,never
Rhode Island,2010,9.63,29.83,7.34,1.066326530612245,6.668367346938775,0.961734693877551,never
South Carolina,2010,5.74,17.59,4.1,0.7525510204081631,4.221938775510203,0.635204081632653,never
South Dakota,2010,5.51,13.31,3.32,0.7372448979591836,3.0994897959183674,0.5688775510204083,never
Tennessee,2010,5.34,14.17,3.09,0.6581632653061222,3.306122448979591,0.5,never
Texas,2010,6.49,14.74,3.46,0.47704081632653067,2.7653061224489797,0.33418367346938765,never
Utah,2010,3.68,7.74,1.9,0.6275510204081631,1.9183673469387754,0.375,never
Vermont,2010,10.65,32.01,8.15,1.1377551020408165,6.948979591836736,1.0229591836734695,never
Virginia,2010,6.74,17.4,3.73,0.7627551020408164,3.8520408163265305,0.5688775510204082,never
Washington,2010,8.01,22.74,6.69,0.8673469387755101,5.056122448979592,0.8367346938775508,before
West Virginia,2010,6.14,18.89,4.03,0.7831632653061223,4.448979591836734,0.635204081632653,never
Wisconsin,2010,6.87,15.81,3.76,0.798469387755102,3.4260204081632653,0.596938775510204,never
Wyoming,2010,7.07,15.26,3.35,0.8698979591836737,3.229591836734694,0.5790816326530612,never
Alabama,2011,11.65014033,51.28657889,45.639200689999996,1.030304242346939,1.9499941377551024,1.997330224489796,never
Alaska,2011,12.4183553,60.75905533,58.220885,1.181812339285714,2.174756709183677,2.1618415382653056,before
